read_day,trik_ID,bins,counts,light_status,uniqueID,eclosion_date,eclosion_days,well_id,organism,Trikinetics_entry_LD_time,trik_cohort,day,time
4,18,4:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,4
4,18,4:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,4.25
4,18,4:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,4.5
4,18,5:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,4.75
4,18,5:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,5
4,18,5:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,5.25
4,18,5:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,5.5
4,18,6:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,5.75
4,18,6:15,2,0.933333333,5w69,9/26/17,32,A7,fly,16:08,1,8,6
4,18,6:30,7,1,5w69,9/26/17,32,A7,fly,16:08,1,8,6.25
4,18,6:45,19,1,5w69,9/26/17,32,A7,fly,16:08,1,8,6.5
4,18,7:00,19,1,5w69,9/26/17,32,A7,fly,16:08,1,8,6.75
4,18,7:15,17,1,5w69,9/26/17,32,A7,fly,16:08,1,8,7
4,18,7:30,8,1,5w69,9/26/17,32,A7,fly,16:08,1,8,7.25
4,18,7:45,1,1,5w69,9/26/17,32,A7,fly,16:08,1,8,7.5
4,18,8:00,2,1,5w69,9/26/17,32,A7,fly,16:08,1,8,7.75
4,18,8:15,2,1,5w69,9/26/17,32,A7,fly,16:08,1,8,8
